Name,Team,Position,Date,Notes
Jaylen Brown,Boston Celtics,SG,11/01/2017,sprained right ankle (DTD)
Jaylen Brown,Boston Celtics,SG,13/01/2017,returned to lineup
Jaylen Brown,Boston Celtics,SG,13/02/2017,placed on IL with strained right hip flexor
Jaylen Brown,Boston Celtics,SG,24/02/2017,activated from IL
Jaylen Brown,Boston Celtics,SG,06/12/2017,placed on IL with right eye inflammation
Jaylen Brown,Boston Celtics,SG,08/12/2017,activated from IL
Jaylen Brown,Boston Celtics,SG,21/12/2017,sore left Achilles (DTD)
Jaylen Brown,Boston Celtics,SG,23/12/2017,returned to lineup
Jaylen Brown,Boston Celtics,SG,27/12/2017,placed on IL
Jaylen Brown,Boston Celtics,SG,27/12/2017,sore right knee (DTD)
Jaylen Brown,Boston Celtics,SG,31/12/2017,activated from IL
Jaylen Brown,Boston Celtics,SG,09/03/2018,concussion (out indefinitely)
Jaylen Brown,Boston Celtics,SG,11/03/2018,placed on IL with concussion
Jaylen Brown,Boston Celtics,SG,25/03/2018,activated from IL
Jaylen Brown,Boston Celtics,SG,30/04/2018,strained right hamstring (DTD)
Jaylen Brown,Boston Celtics,SG,03/05/2018,returned to lineup
Jaylen Brown,Boston Celtics,SG,01/11/2018,placed on IL with sore right foot
Jaylen Brown,Boston Celtics,SG,03/11/2018,activated from IL
Jaylen Brown,Boston Celtics,SG,26/11/2018,placed on IL with bruised lower back
Jaylen Brown,Boston Celtics,SG,06/12/2018,activated from IL
Jaylen Brown,Boston Celtics,SG,12/12/2018,illness (DTD)
Jaylen Brown,Boston Celtics,SG,14/12/2018,returned to lineup
Jaylen Brown,Boston Celtics,SG,01/04/2019,placed on IL with lower back spasms
Jaylen Brown,Boston Celtics,SG,07/04/2019,activated from IL
Jaylen Brown,Boston Celtics,SG,30/10/2019,placed on IL with illness
Jaylen Brown,Boston Celtics,SG,07/11/2019,activated from IL
Jaylen Brown,Boston Celtics,SG,30/12/2019,illness (DTD)
Jaylen Brown,Boston Celtics,SG,31/12/2019,placed on IL with illness
Jaylen Brown,Boston Celtics,SG,03/01/2020,activated from IL
Jaylen Brown,Boston Celtics,SG,16/01/2020,placed on IL with sprained right thumb
Jaylen Brown,Boston Celtics,SG,20/01/2020,activated from IL
Jaylen Brown,Boston Celtics,SG,22/01/2020,placed on IL with sprained right ankle
Jaylen Brown,Boston Celtics,SG,26/01/2020,activated from IL
Jaylen Brown,Boston Celtics,SG,07/02/2020,placed on IL with sprained right ankle
Jaylen Brown,Boston Celtics,SG,09/02/2020,activated from IL
Jaylen Brown,Boston Celtics,SG,13/02/2020,placed on IL with left calf injury
Jaylen Brown,Boston Celtics,SG,20/02/2020,activated from IL
Jaylen Brown,Boston Celtics,SG,04/03/2020,placed on IL with strained right hamstring
Jaylen Brown,Boston Celtics,SG,29/07/2020,activated from IL
Kris Dunn,Boston Celtics,PG,03/02/2017,right hand injury (DTD)
Kris Dunn,Boston Celtics,PG,10/02/2017,returned to lineup
Kris Dunn,Boston Celtics,PG,07/10/2017,dislocated left index finger (out indefinitely)
Kris Dunn,Boston Celtics,PG,19/10/2017,placed on IL with dislocated left index finger
Kris Dunn,Boston Celtics,PG,28/10/2017,activated from IL
Kris Dunn,Boston Celtics,PG,29/12/2017,patellar tendinitis in left knee (DTD)
Kris Dunn,Boston Celtics,PG,31/12/2017,returned to lineup
Kris Dunn,Boston Celtics,PG,18/01/2018,concussion (out indefinitely)
Kris Dunn,Boston Celtics,PG,20/01/2018,placed on IL with concussion
Kris Dunn,Boston Celtics,PG,14/02/2018,activated from IL
Kris Dunn,Boston Celtics,PG,16/03/2018,sprained right toe (out for season)
Kris Dunn,Boston Celtics,PG,17/03/2018,placed on IL with sprained right toe (out for season)
Kris Dunn,Boston Celtics,PG,23/10/2018,sprained MCL in left knee (out indefinitely)
Kris Dunn,Boston Celtics,PG,24/10/2018,placed on IL with sprained MCL in left knee
Kris Dunn,Boston Celtics,PG,10/12/2018,activated from IL
Kris Dunn,Boston Celtics,PG,13/02/2019,placed on IL with bruised tailbone
Kris Dunn,Boston Celtics,PG,22/02/2019,activated from IL
Kris Dunn,Boston Celtics,PG,25/02/2019,placed on IL with migraine headache
Kris Dunn,Boston Celtics,PG,27/02/2019,activated from IL
Kris Dunn,Boston Celtics,PG,26/03/2019,strained back (out for season)
