Name,Team,Position,Date,Notes
Jaylen Brown,Boston Celtics,SG,11/01/2017,sprained right ankle (DTD)
Jaylen Brown,Boston Celtics,SG,13/01/2017,returned to lineup
Jaylen Brown,Boston Celtics,SG,13/02/2017,placed on IL with strained right hip flexor
Jaylen Brown,Boston Celtics,SG,20/04/2017,activated from IL
Jaylen Brown,Boston Celtics,SG,06/12/2017,placed on IL with right eye inflammation
Jaylen Brown,Boston Celtics,SG,08/12/2017,activated from IL
Jaylen Brown,Boston Celtics,SG,21/12/2017,sore left Achilles (DTD)
Jaylen Brown,Boston Celtics,SG,23/12/2017,returned to lineup
Tacko Fall,Boston Celtics,C,22/10/2019,concussion (DTD)
Tacko Fall,Boston Celtics,C,26/10/2019,placed on IL with concussion
Tacko Fall,Boston Celtics,C,26/10/2019,activated from IL
Bruno Fernando,Boston Celtics,F,08/01/2020,placed on IL with strained left calf
Bruno Fernando,Boston Celtics,F,28/01/2020,placed on IL with strained left calf
Bruno Fernando,Boston Celtics,F,05/02/2020,activated from IL
Bruno Fernando,Boston Celtics,F,07/02/2020,strained left calf (DTD)
Bruno Fernando,Boston Celtics,F,09/02/2020,returned to lineup
