team_name
Los Angeles Lakers
Los Angeles Clippers
Milwaukee Bucks
Brooklyn Nets
Houston Rockets
Golden State Warriors
Portland Trail Blazers
Philadelphia 76ers
Denver Nuggets
Minnesota Timberwolves
Miami Heat
Utah Jazz
Detroit Pistons
Boston Celtics
Dallas Mavericks
San Antonio Spurs
Washington Wizards
Indiana Pacers
Toronto Raptors
Sacramento Kings
Phoenix Suns
Cleveland Cavaliers
New Orleans Pelicans
Orlando Magic
Atlanta Hawks
Oklahoma City Thunder
Chicago Bulls
New York Knicks
Memphis Grizzlies
Charlotte Hornets
